,step,lr,grid,k,internal_units,batch,lamb,lamb_entropy,avg_val_loss
268,50,0.0001,12,2,12,32,0.1,100,1.067333420117696
269,50,0.0001,12,2,12,64,0.1,100,1.0666577021280925
270,50,0.0001,12,2,16,32,0.1,100,0.9932900468508402
271,50,0.0001,12,2,16,64,0.1,100,0.9934548934300741
272,50,0.0001,12,3,12,32,0.01,10,1.0409084955851238
273,50,0.0001,12,3,12,64,0.01,10,1.0373019377390544
274,50,0.0001,12,3,16,32,0.01,10,0.9769389231999716
275,50,0.0001,12,3,16,64,0.01,10,0.9749726057052612
276,50,0.0001,12,3,12,32,0.01,100,1.0574928919474285
277,50,0.0001,12,3,12,64,0.01,100,1.0576760371526082
278,50,0.0001,12,3,16,32,0.01,100,0.9849429527918497
279,50,0.0001,12,3,16,64,0.01,100,0.9851525624593099
280,50,0.0001,12,3,12,32,0.1,10,1.059023141860962
281,50,0.0001,12,3,12,64,0.1,10,1.0590996344884236
282,50,0.0001,12,3,16,32,0.1,10,0.9857061505317688
283,50,0.0001,12,3,16,64,0.1,10,0.9860933224360148
284,50,0.0001,12,3,12,32,0.1,100,1.0669729709625244
285,50,0.0001,12,3,12,64,0.1,100,1.0669286648432414
286,50,0.0001,12,3,16,32,0.1,100,0.9919389486312866
287,50,0.0001,12,3,16,64,0.1,100,0.9931710163752238
288,80,0.01,8,2,12,32,0.01,10,0.3201915721098582
289,80,0.01,8,2,12,64,0.01,10,0.2946067949136098
290,80,0.01,8,2,16,32,0.01,10,0.33405070503552753
291,80,0.01,8,2,16,64,0.01,10,0.31080982089042664
292,80,0.01,8,2,12,32,0.01,100,1.0002587834994
293,80,0.01,8,2,12,64,0.01,100,1.0003808538119
294,80,0.01,8,2,16,32,0.01,100,1.0006446838378906
295,80,0.01,8,2,16,64,0.01,100,0.999471644560496
296,80,0.01,8,2,12,32,0.1,10,0.9999929865201315
297,80,0.01,8,2,12,64,0.1,10,0.9998135566711426
298,80,0.01,8,2,16,32,0.1,10,0.9996745387713114
299,80,0.01,8,2,16,64,0.1,10,0.9989102880160013
300,80,0.01,8,2,12,32,0.1,100,0.9992422461509705
301,80,0.01,8,2,12,64,0.1,100,0.9999644954999288
302,80,0.01,8,2,16,32,0.1,100,1.0000980695088704
303,80,0.01,8,2,16,64,0.1,100,1.000633716583252
304,80,0.01,8,3,12,32,0.01,10,0.3189347485701243
305,80,0.01,8,3,12,64,0.01,10,0.290052463610967
306,80,0.01,8,3,16,32,0.01,10,0.33206331729888916
307,80,0.01,8,3,16,64,0.01,10,0.3077879051367442
308,80,0.01,8,3,12,32,0.01,100,0.999844491481781
309,80,0.01,8,3,12,64,0.01,100,1.0000678300857544
310,80,0.01,8,3,16,32,0.01,100,0.9998875061670939
311,80,0.01,8,3,16,64,0.01,100,1.000082015991211
312,80,0.01,8,3,12,32,0.1,10,1.0003385941187541
313,80,0.01,8,3,12,64,0.1,10,0.9994341333707174
314,80,0.01,8,3,16,32,0.1,10,1.0003356337547302
315,80,0.01,8,3,16,64,0.1,10,0.9989346464474996
316,80,0.01,8,3,12,32,0.1,100,1.0001693964004517
317,80,0.01,8,3,12,64,0.1,100,1.000275472799937
318,80,0.01,8,3,16,32,0.1,100,0.9998796383539835
319,80,0.01,8,3,16,64,0.1,100,1.0007584691047668
320,80,0.01,10,2,12,32,0.01,10,0.3332438071568807
321,80,0.01,10,2,12,64,0.01,10,0.30984819928805035
